iter	Passed	Remaining
398	2214	3336
399	2216	3325
400	2219	3314
401	2221	3304
402	2224	3294
403	2226	3284
404	2228	3273
405	2230	3263
406	2232	3252
407	2234	3241
408	2238	3234
409	2240	3224
410	2242	3214
411	2245	3204
412	2247	3193
413	2249	3183
414	2252	3175
415	2255	3165
416	2257	3156
417	2259	3146
418	2261	3136
419	2264	3126
420	2268	3119
421	2270	3109
422	2272	3099
423	2274	3089
424	2276	3079
425	2278	3070
426	2280	3060
427	2284	3052
428	2286	3043
429	2288	3033
430	2290	3023
431	2293	3014
432	2295	3005
433	2298	2997
434	2300	2988
435	2302	2978
436	2304	2969
437	2307	2960
438	2309	2951
439	2313	2943
440	2315	2934
441	2317	2925
442	2319	2915
443	2321	2906
444	2323	2897
445	2325	2888
446	2327	2879
447	2329	2870
448	2332	2861
449	2334	2852
450	2336	2843
451	2338	2834
452	2341	2827
453	2344	2819
454	2346	2810
455	2348	2802
456	2351	2793
457	2353	2785
458	2357	2778
459	2359	2769
460	2361	2760
461	2363	2752
462	2365	2743
463	2367	2734
464	2371	2728
465	2373	2720
466	2375	2711
467	2377	2702
468	2379	2694
469	2382	2686
470	2386	2680
471	2389	2672
472	2391	2664
473	2393	2656
474	2395	2648
475	2397	2639
476	2402	2634
477	2404	2626
478	2407	2618
479	2409	2610
480	2411	2601
481	2413	2593
482	2418	2588
483	2420	2580
484	2422	2572
485	2424	2564
486	2426	2556
487	2429	2548
488	2432	2541
489	2434	2533
490	2436	2526
491	2439	2518
492	2441	2510
493	2443	2503
494	2447	2496
495	2449	2489
496	2451	2481
497	2453	2473
498	2455	2465
499	2457	2457
500	2461	2451
501	2463	2443
502	2465	2436
503	2467	2428
504	2469	2420
505	2471	2413
506	2475	2407
507	2477	2399
508	2479	2392
509	2482	2384
510	2484	2377
511	2486	2369
512	2488	2362
513	2491	2355
514	2493	2348
515	2495	2341
516	2497	2333
517	2500	2326
518	2502	2319
519	2505	2313
520	2508	2305
521	2510	2298
522	2512	2291
523	2514	2284
524	2516	2276
525	2520	2271
526	2522	2264
527	2524	2257
528	2527	2249
529	2529	2242
530	2531	2235
531	2535	2230
532	2537	2223
533	2539	2216
534	2541	2209
535	2543	2202
536	2546	2195
537	2549	2189
538	2552	2182
539	2554	2175
540	2556	2168
541	2558	2162
542	2560	2155
543	2563	2148
544	2565	2142
545	2568	2135
546	2570	2128
547	2572	2121
548	2574	2114
549	2576	2108
550	2580	2102
551	2582	2095
552	2584	2089
553	2586	2082
554	2588	2075
555	2590	2068
556	2594	2063
557	2596	2057
558	2598	2050
559	2600	2043
560	2603	2036
561	2605	2030
562	2609	2025
563	2611	2018
564	2613	2012
565	2615	2005
566	2617	1999
567	2619	1992
568	2622	1986
569	2625	1980
570	2627	1974
571	2629	1967
572	2632	1961
573	2634	1955
574	2636	1948
575	2640	1943
576	2642	1937
577	2644	1930
578	2646	1924
579	2648	1918
580	2650	1911
581	2655	1906
582	2657	1900
583	2659	1894
584	2661	1888
585	2663	1881
586	2665	1875
587	2669	1870
588	2671	1864
589	2673	1857
590	2675	1851
591	2677	1845
592	2679	1839
593	2683	1834
594	2685	1828
595	2687	1821
596	2689	1815
597	2692	1809
598	2694	1803
599	2696	1797
600	2699	1792
601	2701	1786
602	2703	1780
603	2705	1774
604	2708	1768
605	2710	1762
606	2713	1756
607	2715	1750
608	2718	1745
609	2720	1739
610	2722	1733
611	2724	1727
612	2728	1722
613	2731	1716
614	2733	1711
615	2735	1705
616	2737	1699
617	2739	1693
618	2743	1688
619	2745	1682
620	2747	1677
621	2749	1671
622	2752	1665
623	2754	1659
624	2756	1654
625	2759	1648
626	2761	1642
627	2763	1636
628	2765	1631
629	2767	1625
630	2770	1619
631	2773	1614
632	2775	1609
633	2777	1603
634	2779	1597
635	2781	1592
636	2783	1586
637	2787	1581
638	2789	1576
639	2791	1570
640	2794	1564
641	2796	1559
642	2798	1553
643	2802	1549
644	2804	1543
645	2806	1538
646	2808	1532
647	2810	1526
648	2812	1521
649	2815	1516
650	2818	1511
651	2821	1505
652	2823	1500
653	2825	1494
654	2827	1489
655	2831	1484
656	2833	1479
657	2835	1473
658	2837	1468
659	2839	1462
660	2842	1457
661	2844	1452
662	2848	1447
663	2850	1442
664	2852	1436
665	2854	1431
666	2856	1426
667	2858	1420
668	2862	1416
669	2864	1410
670	2866	1405
671	2868	1400
672	2870	1394
673	2872	1389
674	2876	1384
675	2878	1379
676	2880	1374
677	2882	1369
678	2884	1363
679	2887	1358
680	2892	1354
681	2894	1349
682	2897	1344
683	2899	1339
684	2902	1334
685	2907	1330
686	2909	1325
687	2911	1320
688	2913	1315
689	2915	1309
690	2917	1304
691	2921	1300
692	2923	1295
693	2925	1289
694	2927	1284
695	2929	1279
696	2931	1274
697	2935	1270
698	2937	1264
699	2939	1259
700	2941	1254
701	2943	1249
702	2945	1244
703	2947	1239
704	2951	1235
705	2953	1230
706	2955	1225
707	2958	1219
708	2960	1214
709	2962	1209
710	2966	1205
711	2968	1200
712	2970	1195
713	2972	1190
714	2974	1185
715	2976	1180
716	2978	1175
717	2981	1171
718	2983	1166
719	2986	1161
720	2988	1156
721	2990	1151
722	2992	1146
723	2995	1142
724	2998	1137
725	3000	1132
726	3002	1127
727	3005	1122
728	3007	1117
729	3011	1113
730	3013	1108
731	3015	1104
732	3017	1099
733	3019	1094
734	3021	1089
735	3025	1085
736	3027	1080
737	3029	1075
738	3031	1070
739	3033	1065
740	3035	1061
741	3039	1056
742	3042	1052
743	3044	1047
744	3046	1042
745	3048	1037
746	3050	1033
747	3053	1028
748	3055	1023
749	3057	1019
750	3059	1014
751	3061	1009
752	3063	1005
753	3065	1000
754	3069	996
755	3071	991
756	3073	986
757	3075	982
758	3078	977
759	3080	972
760	3084	968
761	3086	964
762	3088	959
763	3090	954
764	3093	950
765	3095	945
766	3099	941
767	3102	937
768	3104	932
769	3106	927
770	3108	923
771	3110	918
772	3113	914
773	3116	909
774	3118	905
775	3120	900
776	3122	896
777	3124	891
778	3127	887
779	3130	882
780	3132	878
781	3134	873
782	3136	869
783	3138	864
784	3141	860
785	3144	856
786	3146	851
787	3148	847
788	3150	842
789	3152	838
790	3154	833
791	3158	829
792	3160	824
793	3162	820
794	3164	816
795	3166	811
796	3169	807
797	3172	803
798	3175	798
799	3177	794
800	3179	789
801	3182	785
802	3184	781
803	3188	777
804	3190	772
805	3192	768
806	3194	764
807	3196	759
808	3199	755
809	3202	751
810	3205	746
811	3207	742
812	3209	738
813	3211	733
814	3213	729
815	3215	725
816	3219	721
817	3221	716
818	3223	712
819	3225	708
820	3228	703
821	3232	700
822	3235	695
823	3237	691
824	3240	687
825	3242	682
826	3244	678
827	3248	674
828	3250	670
829	3252	666
830	3254	661
831	3256	657
832	3258	653
833	3262	649
834	3264	645
835	3267	640
836	3269	636
837	3271	632
838	3273	628
839	3277	624
840	3280	620
841	3282	615
842	3285	611
843	3287	607
844	3289	603
845	3294	599
846	3296	595
847	3298	591
848	3300	587
849	3303	582
850	3305	578
851	3309	574
852	3311	570
853	3313	566
854	3315	562
855	3317	558
856	3319	553
857	3323	549
858	3325	545
859	3327	541
860	3329	537
861	3331	533
862	3333	529
863	3336	525
864	3338	521
865	3340	516
866	3342	512
867	3345	508
868	3347	504
869	3349	500
870	3353	496
871	3355	492
872	3357	488
873	3359	484
874	3361	480
875	3363	476
876	3367	472
877	3369	468
878	3371	464
879	3374	460
880	3376	456
881	3379	452
882	3382	448
883	3384	444
884	3386	440
885	3389	436
886	3391	432
887	3393	427
888	3395	423
889	3399	420
890	3401	416
891	3403	412
892	3405	408
893	3407	404
894	3409	400
895	3413	396
896	3415	392
897	3417	388
898	3419	384
899	3421	380
900	3423	376
901	3427	372
902	3429	368
903	3431	364
904	3433	360
905	3435	356
906	3437	352
907	3439	348
908	3442	344
909	3444	340
910	3446	336
911	3448	332
912	3450	328
913	3452	324
914	3456	321
915	3458	317
916	3460	313
917	3462	309
918	3464	305
919	3467	301
920	3471	297
921	3473	293
922	3475	289
923	3477	286
924	3479	282
925	3481	278
926	3485	274
927	3487	270
928	3489	266
929	3492	262
930	3494	258
931	3496	255
932	3498	251
933	3501	247
934	3503	243
935	3505	239
936	3507	235
937	3509	231
938	3511	228
939	3515	224
940	3517	220
941	3519	216
942	3521	212
943	3523	209
944	3526	205
945	3529	201
946	3532	197
947	3534	193
948	3536	190
949	3538	186
950	3540	182
951	3543	178
952	3546	174
953	3548	171
954	3550	167
955	3552	163
956	3555	159
957	3557	155
958	3560	152
959	3563	148
960	3565	144
961	3567	140
962	3569	137
963	3571	133
964	3574	129
965	3577	125
966	3579	122
967	3581	118
968	3583	114
969	3585	110
970	3589	107
971	3591	103
972	3593	99
973	3595	95
974	3598	92
975	3600	88
976	3603	84
977	3606	81
978	3608	77
979	3610	73
980	3612	69
981	3614	66
982	3617	62
983	3620	58
984	3622	55
985	3624	51
986	3626	47
987	3628	44
988	3630	40
989	3635	36
990	3637	33
991	3640	29
992	3642	25
993	3644	21
994	3646	18
995	3649	14
996	3651	10
997	3654	7
998	3656	3
999	3658	0
